No;Kode Dealer;Nama Dealer;Kode Main Dealer
616;8294;TOMPUL SERVIS;B10
617;9140;CV. IRMAH MOTOR;W01
618;2575;CV BR DUA LIMA TUJUH LIMA;K0Z
619;16462;MITRA RASA;L01
620;15591;FATHIR MOTOR;B10
621;17212;DWI KARYA SWASTIKA;B10
622;9917;PICUNG MOTOR;J20
623;7522;INDAKO TRADING COY;B10
624;7690;PESLIN MOTOR;C10
625;8894;BERKAH JAYA II;M2Z
626;8849;MAJU JAYA II;M2Z
627;1464;WARU AGUNG MOTOR II;M2Z
628;1485;TUNGGAL DEWI MOTOR;M2Z
629;13206;ARAFAT MOTOR;M2Z
630;15277;UD. REJEKI MOTOR;M2Z
631;18766;UD ARTHA YASA;N01
632;14066;CV DJ JAYA UTAMA MOTOR;N01
633;10229;HARTA MOTOR;N01
634;17004;UD DIAN MOTOR;K0Z
635;13828;BLOK M;K0Z
636;18645;PT BRAJAGUNA OTO MANDIRI;K0Z
637;17213;KOPERASI HANDAYANI MOTOR 2;K0Z
638;642;TARUNA MOTOR;K0Z
639;9677;KARYA MANDIRI;K0Z
640;1778;MAKMUR GUNA SANTOSO;K0Z
641;1108;ANUGRAH JAYA;K0Z
642;17816;KEDATON;I3Z
643;2127;NIRWANA SERVIS;C3Z
644;8786;HENDRA MOTOR;J10
645;16905;JAYA MAJU;J10
646;13697;CV JAYA RAYA;J10
647;2064;ELECTRA SERVIS;B10
648;1132;CAHAYA MOTOR;M3Z
649;8715;ANDALAS MOTOR;B3Z
650;7107;SUBUR JAYA SERVIS;C3Z
651;17899;REJEKI LEN;T10
652;17199;ARI RIZKY MANDIRI;T10
653;7106;WINALDO SERVIS;C3Z
654;2580;ARDIAN  II;I3Z
655;1309;ARDIAN;I3Z
656;2050;ABF MOTOR;M2Z
657;360;TUNGGAL MOTOR;M2Z
658;18681;PINASTIKA AHASS;V2Z
659;7867;ARDIAN IV;I3Z
660;2046;BUANA SARI MOTOR;K0Z
661;18473;CV SIBUANA KARYA MOTOR;K0Z
662;6817;KURNIA AGUNG  II;K0Z
663;2270;PADMANABA II;K0Z
664;2093;KURNIA AGUNG;K0Z
665;2185;SAPPITU;K0Z
666;968;KARYA TUNGGAL SERVIS;B10
667;11491;BUDI JAYA II;M2Z
668;6307;DUA CAKRAWALA;J10
669;2603;INDO MOTOR;C10
670;10070;NOLDY SERVICE;U10
671;17453;DEALOVA;J10
672;7723;ADIMITRA MOTOR;J10
673;1370;LAMPUNG MOTOR II;H2Z
674;6904;PT WAHANAARTHA RITELINDO (KRONJO);I3Z
675;2136;SUMBER REJEKI;M2Z
676;13872;CV.WIDYA;M2Z
677;10838;PAKJO MOTOR;G01
678;7385;RAJAWALI MOTOR;K0Z
679;8041;PASAR MINGGU MOTOR;I3Z
680;1809;KING ABADI JAYA;K0Z
681;17901;CV. CIPTA JAYA REMBANG;K0Z
682;15444;UD. RIZKY MOTOR;M2Z
683;12792;SYARIFUDDIN MOTOR II;M2Z
684;15028;RADEN WIJAYA;M2Z
685;17550;DINAMIKA DAYA CIPTA;I3Z
686;16934;BENGKEL MOTOR;J10
687;186;LIMA JAYA MOTOR;M2Z
688;995;WATES JAYA MOTOR;M2Z
689;15930;HNB YANTI MOTOR;B10
690;12736;PT. LINGLANG JAYA MANDIRI;J10
691;7152;AQUMAS MOTOR, PD;J10
692;8263;CV RANGGA MOTOR;J10
693;6489;RIA MOTOR;J10
694;14013;MUSTIKA MOTOR;J10
695;8933;CATRA ADIKARYA KHARISMA, PT;J10
696;13678;UTAMA MOTOR;U10
697;1412;SUMBER KARYA;K0Z
698;17538;TUNAS DWIPA MATRA;G5Z
699;15650;PRATAMA DUA;I3Z
700;2081;CHANDRA MOTOR;J10
701;8888;CAHAYA SAKTI GROUP;J10
702;18281;CV MAHKOTA JAYA MOTOR;R5Z
703;17220;UTAMA MOTOR;R5Z
704;13079;MITRA IDEAL JAYA;D3Z
705;9263;MITRA IDEAL SUKSES;D3Z
706;4685;MEGAH SUGIH ARTO LESTARI;I3Z
707;15195;MOJOPAHIT MOTOR III;M2Z
708;16693;UD RISKI MOTOR;N02
709;1463;KEBON SARI MOTOR;M2Z
710;2695;PETIR JAYA MOTOR;J20
711;8851;PRIMADANA MOTOR;M2Z
712;8343;TAMSIS JAYA BARU;L01
713;16176;GALUH MOTOR;K0Z
714;956;SURYA CIPTA PRATAMA;K0Z
715;17168;RAHARDJO MOTOR;K0Z
716;805;BANGKINANG INDAH SERVIS;D2Z
717;568;FEDERAL SERVICE;D2Z
718;2303;BINA SWADAYA;J10
719;13779;AHMAD JAYADI MOTOR;J10
720;6851;PRIMA MOTOR,PD;J10
721;6913;PASUNDAN MOTOR;J10
722;2779;TOP SPEED MOTOR;J10
723;9636;RAJA MOTOR;J10
724;12435;SULTHAN ANUGRAH;J10
725;900;FASILITAS AHASS;D2Z
726;566;DUNIA MOTORINDO CEMERLANG - WM;I3Z
727;1193;PRIMA  SERVIS;D2Z
728;1668;LESTARI SERVIS;D2Z
729;12170;DUNIA MOTOR;B3Z
730;16581;GONDRONG MOTOR;I3Z
731;8089;CHAMPION;I3Z
732;1043;LANGGENG JAYA MOTOR;I3Z
733;8743;MARGA;I3Z
734;9072;ADMIRAL SERVIS;C3Z
735;15664;ELANG SAKTI MOTOR;L01
736;9090;KURNIA MOTOR, UD;B10
737;10666;REDJO MOTOR;L01
738;8315;MULTI MOTOR;G5Z
739;16640;MITRA PRATAMA;L01
740;948;ROBINSON;I3Z
741;6895;RESTU BUANA MOTOR;L01
742;7540;IDOLA MOTOR;L01
743;1346;JOHN MOTOR;B10
744;2769;SRI WIBOWO MOTOR;L01
745;1419;HONDA SERVIS;B10
746;9189;KRES MOTOR;E20
747;9080;TAKASI JAYA II, CV;B10
748;16447;DWI KARYA SWAKARSA;B10
749;18692;CV AVAN MOTOR JAYA;M2Z
750;2681;MANDALA MOTOR;E20
751;11435;PASTI JAYA MOTOR;N02
752;8920;MANDIRI MOTOR;N02
753;9733;SAMUDRA MOTOR;J10
754;6298;TUNAS CEMARA MOTOR;J10
755;17559;UD ARIF MOTOR;D2Z
756;1666;NAGA SAKTI;I3Z
757;1026;PANGERAN MOTOR;D2Z
758;13568;SUMBER SARI MOTOR;M2Z
759;17918;USAHA BARU MOTOR;J10
760;12648;SURYA ABADI;U10
761;18705;CV ANUGERAH MOTOR;U10
762;18185;UD PRIMA MOTOR;U10
763;15213;UD. DUTA RINJANI;N02
764;13219;UD. RAHMAD MOTOR;N02
765;9036;ANEKA 5;I3Z
766;9643;SK MOTOR;I3Z
767;1076;KOSAMBI;I3Z
768;1103;NAGA TOBA MOTOR;B3Z
769;8557;LAMPUNG MOTOR ;H2Z
770;10294;RAJA MOTOR III;H2Z
771;10131;DIAN JAYA;H2Z
772;1587;SABAR MOTOR;H2Z
773;14014;PT. DAYA ANUGRAH MANDIRI;J10
774;17228;MAHKOTA MOTOR;J10
775;17582;KINANTI BINTANG ABADI;J10
776;1294;EDDI MOTOR;J10
777;107;HONDA SERVICE CENTRE;J10
778;788;AMAN MOTOR;J10
779;12362;SEMARANG JAYA MOTOR 2;H2Z
780;7006;SEMARANG JAYA MOTOR;H2Z
781;7467;PELALAWAN SERVIS;D2Z
782;13415;PT SAHABATMAKMUR HARTABERLIMPAH;I3Z
783;514;GEMINI MOTOR;M2Z
784;9153;SUMBER REJEKI BARU MOTOR;M2Z
785;17270;AHASS SURYA LESTARI MOTOR;M2Z
786;18682;PANDAWA 5 MANDIRI;I3Z
787;1337;MOTOR CAHAYA SEJATI;K0Z
788;2641;JATI MAS;K0Z
789;7093;JAYA MOTOR;K0Z
790;1273;ANUGERAH MOTOR;K0Z
791;9325;RANDU GARUT MOTOR;K0Z
792;2268;PIRAMIDA MOTOR;K0Z
793;9212;KARISMA JAYA MOTOR;G01
794;1075;ASIA SERVICE;D2Z
795;2225;UDIN MOTOR;G01
796;6865;JAYA SERVIS;B10
797;8734;JAYA MOTOR;D2Z
798;1951;BM MOTOR;W01
799;7154;SURYA MOTOR;W01
800;18768;ANTARA MOTOR 2;N01
801;7338;GAUNG MOTOR;D2Z
802;18767;DJANA JAYA MOTOR;N01
803;18624;JAYA MANDIRI;J10
804;18465;ALPHA OMEGA NUSA SEHATI;J10
805;6386;SAKURA MOTOR 2;J10
806;8356;STIN 22;C3Z
807;13058;ILFI SERVIS;C3Z
808;1459;GARUDA SERVIS;B10
809;17352;HAUR KUNING SEKUMPUL;T10
810;18141;BUANA RAYA MOTOR;T10
811;1104;RUDI SERVICE;D2Z
812;17236;ELANGINDO MEGATAMA;I3Z
813;7073;TAWEKAL MOTOR;J10
814;17643;PT DWI KARYA SERASI;B10
815;15027;CV. SASTRO MOTOR;M2Z
816;17676;CV CIPTA JAYA PRATAMA PATI;K0Z
817;2773;LIA SERVIS;B10
818;9077;TARUNA SERVIS;B10
819;18283;KENCANA ABADI MOTOR 2;I3Z
820;15580;TERANG ANUGERAH 2;I3Z
821;2116;CV AGATHA MOTOR PRATAMA;K0Z
822;8730;SUKARAJA MOTOR SERVIS;D2Z
823;6525;ANANDA MOTORINDO SEJATI;D2Z
824;12313;UTAMA;D2Z
825;10095;CV HARKAT ABADI;Z11
826;15906;MEKAR ABADI MANUNGGAL JAYA;I3Z
827;17825;CV SENTOSA KURNIA MOTOR;D3Z
828;7443;A.A MOTOR;E20
829;5659;SUMBER MAS MOTOR;M2Z
830;1985;ASIA MOTOR;M3Z
831;1467;PRIMA NUSA MOTOR;M2Z
832;7167;PANDAWA LIMA SAKTI;I3Z
833;10646;UD DYNES JAYA MOTOR;B10
834;15231;PAMENANG MOTOR;M2Z
835;6811;PRIMA MOTOR;L01
836;2593;GODEAN HONDA SERVICE;L01
837;13901;MUSTIKA JAYA MOTOR;J10
838;7828;CAHAYA ANDIN, CV;J10
839;8683;SENTRAL MOTOR;L01
840;16833;DWI KARYA SARTIKA;B10
841;7608;YOGI SERVIS;B10
842;18707;HELMI MOTOR;J10
843;18313;MITRA ANUGERAH BARABAI;T10
844;16533;BENGKEL HONDA MOTOR;N01
845;9019;ZULFA MOTOR;M2Z
846;746;GERRIE MOTOR;U10
847;6793;BINTARO JAYA;I3Z
848;16216;RANGGEH JAYA MOTOR;M2Z
849;1090;JAYA SERVIS;B10
850;7164;ZAHRA;K0Z
851;8597;BRATA JAYA;N01
852;6850;GRIYA MOTOR 2;J10
853;2785;HONDA SERVICE;B3Z
854;860;YUNADI MOTOR;N01
855;1170;BINTANG MEDAN SERVIS;B10
856;18687;IQNA MOTOR;Q01
857;7180;CV BIRAWA JAYA;K0Z
858;6367;TEHNIK KITA;K0Z
859;7783;SANTI RAHAYU, UD.;N01
860;2133;DARUS MOTOR;M2Z
861;2606;OMEGA MOTOR;N02
862;18066;UD. RADJA MOTOR;N02
863;13705;GUMILANG MOTOR;J10
864;1824;BUANA MOTOR;J10
865;1325;MITRA MOTOR;J10
866;10940;SURYA JAYA CORPORATION;J10
867;13778;CAHAYA SUKSES MOTOR;J10
868;8993;BERKAT MOTOR;G01
869;1145;MOTOR JAYA;G01
870;462;MAKMUR JAYA;B3Z
871;964;UD HASIL ABADI;L01
872;8917;WIJAYA MOTOR;N01
873;2518;CV STAR MOTOR PERKASA;N01
874;13842;SEHATI MOTOR;I3Z
875;8358;REZA MOTOR;T10
876;7261;GRIAS MOTOR;K0Z
877;13719;PALU JAYA MOTOR;N01
878;12179;UD. SINAR HARAPAN MOTOR;N01
879;13073;ELANG ABADI MOTOR;M2Z
880;16349;JAYANTO ROSA MOTOR;M2Z
881;2049;MAJU JAYA;M2Z
882;10928;SEVRIO MOTOR;M2Z
883;9038;BANDULAN MOTOR;M3Z
884;16547;GRAHA MANDIRI MOTOR;B10
885;7536;ANUGRAH SERVIS;B10
886;9081;CAHAYA SERASI MOTOR;B10
887;1157;SELAMAT JAYA;B10
888;461;FAMILY SERVIS;B3Z
889;8215;SUMBER LANGGAN;L01
890;18391;CIBANTENG;I3Z
891;8691;EL DUA MOTOR;N01
892;10016;DEWA AGUNG MOTOR;N01
893;840;TRIA II,SS;M2Z
894;14034;SEDANA ARTA MOTOR;N01
895;15447;CITRA USAHA NUSANTARA;M2Z
896;9066;SEDANA MOTOR;N01
897;13969;UD. HARI JAYA MOTOR;M2Z
898;16839;UD.WAHYU DIV MOTOR;N01
899;16411;UD. PRATAMA METROPOLIS;M2Z
900;15216;INTI SEDANA MOTOR;N01
901;16532;UD MANDIRI WIJAYA MOTOR;N01
902;16399;TOKO LILA;N01
903;784;SRAGEN HONDA SERVICE;K0Z
904;2147;OSH MOTOR;L01
905;558;SETIAWAN MOTOR;L01
906;1406;SINAR REJEKI II;I3Z
907;2269;TAWANGSARI TENTREM;K0Z
908;8634;JANTI HONDA SERVICE;L01
909;11664;HARAPAN MOTOR;M2Z
910;17644;PT DWI KARYA SERASI;B10
911;17653;MILLENIUM  PUTRA MOTOR;J10
912;17656;CAHAYA SAKTI MOTOR 2;J10
913;17021;TEHNIK MOTOR;J10
914;2759;LIMA MOTOR CIPEUNDEUY;J10
915;11343;KARYA MITRA PERDANA;J10
916;10927;PENDAWA MOTOR;N01
917;15025;BINTANG LESTARI;N01
918;8293;GUNAWAN MOTOR;N01
919;8893;RAHMAT JAYA MOTOR;M2Z
920;12231;EVA CANTIKA JAYA;C10
921;8617;WIRANA MOTOR UD.;N01
922;2041;WIRANA MOTOR;N01
923;1361;RADIKA MOTOR;N01
924;814;HOYA VESUKA;N01
925;1955;SELLY MOTOR;J10
926;2733;GEMILANG ABADI, CV;J10
927;2302;AYURIN MOTOR;J10
928;15275;DAYA ANUGRAH MANDIRI;J10
929;1457;UTAMA JAYA;J10
930;7564;LINGGA MOTOR;J10
931;8008;ABIMAYU MOTOR;L01
932;1036;SINAR JAYA MOTOR;N01
933;18477;KASIH MOTOR 3;N01
934;10258;KELAPA DUA;I3Z
935;2251;KASIH, UD.;N01
936;7831;SAMA JAYA MOTOR;I3Z
937;12371;PUTRA JAYA MOTOR;U10
938;18046;CV RAJAWALI AGUNG GIRI MULIA;N01
939;982;PUTRA SESETAN MOTOR;N01
940;18432;UD FERRA MOTOR BALI;N01
941;6390;SETIAWAN;M2Z
942;1065;AHASS WARU AGUNG I;M2Z
943;15205;REMAJA MOTOR 2, PO;W01
944;15787;BENGKEL SINAR MOTOR;N01
945;2024;NUSA MAKMUR MOTOR;N01
946;16760;WINARTO MOTOR;K0Z
947;1452;BUANA SARI SERVICE;K0Z
948;881;BY PASS MOTOR 3;K0Z
949;6638;CV KURNIA MOTOR;K0Z
950;7766;OBE MOTOR;K0Z
951;16603;MPS CIBALIUNG MOTOR;J20
952;13533;LUMENINDO GILANG CAHAYA;G01
953;6763;CV PIRAMIDA BARU;K0Z
954;11499;MANDIRI MOTOR;M2Z
955;1616;CENTRAL MOTOR;J10
956;2509;VICI MOTOR;J10
957;13094;CV. GEMILANG MAKMUR ABADI;J10
958;15907;DUNIA JAYA;I3Z
959;1589;SUKAWIJAYA MOTOR, UD.;N01
960;2110;FAJAR SERVICE;B3Z
961;8005;HIKMAH SERVICE;B3Z
962;907;REMAJA MOTOR 2;J10
963;1841;PUTERA BONE;W01
964;18474;JATIMAS MOTOR 2;K0Z
965;1120;MANDALA MOTOR;K0Z
966;13419;CV BPK;K0Z
967;367;KRANGGAN AJI MOTOR;K0Z
968;8813;RIO MOTOR;G02
969;1979;YUNADI MOTOR;N01
970;8916;JAYA MOTOR;N01
971;10573;CV SARI INDAH MOTOR;N01
972;16291;TUNAS DWIPA MATRA;H2Z
973;8680;DORA;L01
974;2254;DINO MOTOR;N01
975;15894;DWI KARYA SWADAYA;B10
976;18665;CV MANDIRI MITRA NIAGA;L01
977;9257;REJEKI MOTOR;G5Z
978;16853;BALE MOTOR;L01
979;932;CV UTAMA MOTOR ABADI;L01
980;9462;KARSA MAKMUR;J10
981;1022;PT. ARMADA TUNAS JAYA;L01
982;861;MIRA MOTOR;N01
983;2701;METRO;I3Z
984;7577;TUNGGAL JAYA;I3Z
985;864;SUKSES;I3Z
986;17167;CITRA RAYA PANONGAN;I3Z
987;11943;CV. LARIS MOTOR;C10
988;13766;PT DAYA ANUGRAH MANDIRI;J10
989;10081;IDEAL MOTOR;I3Z
990;14022;UD SURYA PRAMARTHA MOTOR;N01
991;6884;WIRYA MOTOR;N01
992;1258;YOGA MOTOR, CV.;N01
993;16851;STAR MOTOR;N01
994;2252;UD DANAU SARI;N01
995;792;YUNADI JAYA MOTOR, UD.;N01
996;1328;ARIES MOTOR II;N01
997;542;TOKO ANEKA MOTOR;K0Z
998;313;JAYA ABADI;K0Z
999;8043;BINONG, CV;I3Z
1000;870;PT. NAGAMAS MITRA SEJATI;K0Z
1001;13632;SUMBER SENTOSA PANTJITILAR;N02
1002;7439;SUMBER SENTOSA, CABANG;N02
1003;731;SUMBER SENTOSA;N02
1004;10939;UD SINAR JAYA MOTOR / LALU M.F;N02
1005;11437;FAMILY III;I3Z
1006;15441;UD. DAM JAYA MOTOR II;M2Z
1007;12803;DIRGANTARA MOTOR;M2Z
1008;347;DIPONEGORO MOTOR;M3Z
1009;18478;CV DJ WIGUNA JAYA MOTOR;N01
1010;450;FAJAR MOTOR;W01
1011;10882;MITRA JAYA MOTOR;D2Z
1012;9259;SURYA DEMPO MOTOR;G01
1013;15439;SIHOTANG JAYA MOTOR;B10
1014;9510;CIPAYUNG;I3Z
1015;12110;PT. MULTIUSAHA SEJAHTERA BERSAMA;I3Z
1016;871;CAHAYA SAKTI MOTOR;K0Z
1017;2799;BENGKEL HARAPAN KITA MOTOR;K0Z
1018;7661;TSUMMA MOTOR;K0Z
1019;4260;KENDALI MOTOR;K0Z
1020;16864;DWI KARYA SARTIKA;B10
1021;16875;KENCANA MULIA ABADI;B10
1022;7166;ASIA;I3Z
1023;2250;BALIAN MOTOR;N01
1024;1882;MERTANADI, UD.;N01
1025;10247;MUDA JAYA MOTOR;N01
1026;10243;YUNADI MOTOR;N01
1027;1368;UD. GRAND MOTOR;N01
1028;18452;PT RAJAWALI MAHKOTA JAYA;N01
1029;16695;TRACK 3;J10
1030;16811;UD.SURYA PRAMARTA MOTOR;N01
1031;10077;BINA MOTOR;N02
1032;17194;YUSUF SEPAKAT;B10
1033;763;HARAPAN MOTOR;V2Z
1034;6689;KERSANA MOTOR;K0Z
1035;537;TARUNA MOTOR;K0Z
1036;6293;TOKO MORODADI;K0Z
1037;7179;TARUNA MOTOR II;K0Z
1038;8319;KINOKI MOTORINDO;K0Z
1039;17227;CV ANUGERAH MOTOR;K0Z
1040;10655;KARISMA SERVICE;B3Z
1041;16917;FEDORA MOTOR;I3Z
1042;318;GATARI MOTOR;I3Z
1043;1039;IRAMA JAYA;I3Z
1044;12793;CARNAVAL;I3Z
1045;918;KHARISMA;I3Z
1046;7148;NUANSA MOTOR;J10
1047;16850;MAJU JAYA MOTOR;L01
1048;1806;ARIVAN MOTOR;B3Z
1049;16950;ASTRO;M2Z
1050;2553;SURYA MOTOR;Q01
1051;18392;KENCANA MOTOR;Q01
1052;13968;SYARIFUDDIN MOTOR III;M2Z
1053;18192;CAHAYA SURYA MOTOR;M2Z
1054;7513;TIARA;I3Z
1055;8351;CILANDAK;I3Z
1056;2287;PATTAROWANTA;W01
1057;10134;W A P;I3Z
1058;8696;ANUGERAH MOTOR;W01
1059;18658;CV JEBRES JAYA;K0Z
1060;8640;KOKO MOTOR;L01
1061;6285;SEKAWAN MOTOR;Q01
1062;1050;BUANA MOTOR;L01
1063;1930;JAYA BARU MOTOR;L01
1064;16665;ARWANA KUALA MOTOR;Q01
1065;9279;SANTRIKA  MOTOR;D2Z
1066;1696;IMPRESSA UTAMA (D/H SETIA);I3Z
1067;17665;MANDIRI WIRA LESTARI;J10
1068;10136;INTAN MULIA;J10
1069;7724;TETAP JAYA MOTOR;J10
1070;2673;HAY MOTOR;J10
1071;11944;MAN MOTOR;C10
1072;1688;MONJALI SAKTI;L01
1073;13687;CV AUTOGLOBAL MOTOR;N01
1074;17728;PO. PLANET MOTOR;V2Z
1075;8596;EDY KARYA SERVIS;C3Z
1076;16407;ARBI MOTOR 2;N02
1077;18717;OMEGA KERU;N02
1078;14065;OMEGA MOTOR PAGUTAN;N02
1079;12554;PUTRA REMAJA MOTOR;N02
1080;7234;PRIMA MOTOR;N01
1081;18035;CV DWI ANUGRAH JAYA;R4Z
1082;2517;KASIH MOTOR I;N01
1083;983;YAN MOTOR;N01
1084;7426;SUMBER MOTOR, PD;J10
1085;7585;JAWA MOTOR;L01
1086;16350;SURYA DWIPA MOTOR;N01
1087;6715;ISTANA SULTAN GRAHA, CV;J10
1088;1736;UD. EKA KARYA;N01
1089;217;CV AGUNG MOTOR CEPU;K0Z
1090;1222;GEMILANG MOTOR;N01
1091;7542;PURWOMARTANI MOTOR;L01
1092;18569;DELTA MOTOR;N01
1093;16644;KASIH MOTOR II;N01
1094;15298;UD. UNI PUTRA;N01
1095;11388;SANJAYA MOTOR;N01
1096;1367;KERTIAWAN MOTOR, UD.;N01
1097;713;ARIES MOTOR;N01
1098;6681;SAGA;I3Z
1099;9894;ERA MOTOR;B10
1100;7868;LAUTAN;I3Z
1101;891;SUPRA HONDA MOTOR;W01
1102;1761;HARTACO MOTOR;W01
1103;1100;RAJA MOTOR;C10
1104;6515;PUTRI AGUNG SERVICE;C10
1105;2175;KARYAGUNA;K0Z
1106;18589;PT CEMARA AGUNG SENTOSA;J10
1107;6844;MUTIARA MOTOR 2;N02
1108;16761;PT KRIDA DINAMIK AUTONUSA;N02
1109;15099;BAM'S MOTOR;N01
1110;15209;ANEKA MOTOR;N01
1111;6776;CV BERKAH MANDIRI;J10
1112;17457;MUTIARA DAMAI SENTOSA;J10
1113;8373;NUSANTARA MOTOR;J10
1114;7241;PT ARTHA SENTRA OTO;J10
1115;1389;NABILAH MOTOR;J10
1116;1030;BRAHMANA;I3Z
1117;2808;BERLIAN MOTOR;Q01
1118;18880;CV AUTOGLOBAL MOTOR;N01
1119;18878;FAJAR MANDIRI PUTRA;J20
1120;12287;UD. SARI INDAH MOTOR;N01
1121;1260;SETIA MOTOR;N01
1122;2514;EL BAHAR PRIMA;I3Z
1123;12991;PT ULUWATU ANUGRAH DEWATA;N01
1124;1762;KENCANA MOTOR;W01
1125;9267;ANUGRAH SEJAHTERA, CV;J10
1126;769;SINDARO;B10
1127;554;BINTANG;I3Z
1128;481;UBM SERVIS;B10
1129;17193;DWI KARYA SARTIKA;B10
1130;6905;SAUDARA JAYA MOTOR;I3Z
1131;1995;SUKSES JAYA;L01
1132;8344;PT. ARMADA TUNAS JAYA;L01
1133;11575;PT HEROINTI NUSA CABANG;N01
1134;11424;TAMAN AGUNG, CV;N01
1135;10925;RAJA PERKASA MANDIRI;H2Z
1136;11279;BERKAH SAUDARA MULYA;C3Z
1137;2786;METRO MOTOR;H2Z
1138;16400;RAJA MOTOR IV;H2Z
1139;254;BHINNEKA MOTOR II;H2Z
1140;1133;AHASS IPUNG MOTOR;M2Z
1141;7065;SURAMADU MOTOR;M2Z
1142;2182;IVA MOTOR;L01
1143;2007;CAHAYA MOTOR;D2Z
1144;904;SINAR ABADI;I3Z
1145;2579;SUMBER JAYA;I3Z
1146;13829;RADEN MOTOR;I3Z
1147;13136;RIZKI MOTOR;R4Z
1148;7249;RAYA MOTOR;J10
1149;1211;KRIDA JAYA MOTOR;K0Z
1150;6510;CV WK PIRAMIDA;K0Z
1151;18415;SAFENA MOTOR;J10
1152;12095;UD AL-AKBAR;R5Z
1153;17451;MAZAYA MOTOR;R5Z
1154;7089;WAHANA MOTOR II;K0Z
1155;18512;WAHANA MOTOR III;K0Z
1156;16717;DWI KARYA SWASTIKA;B10
1157;15202;MODERN PLAJU;G01
1158;15969;ANUGERAH KENCANA;G01
1159;15299;SUMBER JAYA MOTOR;B3Z
1160;7510;JAYA INDAH MOTOR CV;J10
1161;10042;HARDJO MOTOR II;M2Z
1162;1537;TIGA BERLIAN, UD;M2Z
1163;8409;PAHALA MOTOR;M3Z
1164;16831;AYU DESKY;B3Z
1165;572;SEKEDANG SERVICE;B3Z
1166;6775;SLAWI MOTOR;J10
1167;12750;CV FARAH MAKMUR ABADI;I3Z
1168;12132;JT MOTOR;J10
1169;1208;INDRAJAYA SERVICE;B3Z
1170;2536;ADITYA MOTOR;J10
1171;7688;TUNAS JAYA MOTOR;J10
1172;13251;TEHNIK MOTOR;J10
1173;7535;ERA MOTOR;B10
1174;6151;CV. SINAR TUBALONG;N02
1175;6910;SUKSES GROUP;J10
1176;9594;MENES MOTOR;J20
1177;18150;AHASS TAMA MOTOR;M2Z
1178;1174;TOKO VIRGO MOTOR;N02
1179;16379;CV ANUGERAH JAYA MOTOR;L01
1180;2149;INDAH MOTOR;K0Z
1181;10653;KUSUMA MOTOR;K0Z
1182;6303;KARSA JAYA;J10
1183;1451;SUMBER BUANA;J10
1184;13699;OBAJA MOTOR;J10
1185;10947;AHASS SONY MOTOR;M2Z
1186;12486;MERDEKA JAYA MOTOR;M2Z
1187;1936;MOTOR CAHAYA BARU;K0Z
1188;1347;KAMAL    II;I3Z
1189;8614;NABILA PRATAMA MOTOR;H2Z
1190;1588;SPANCA    II;I3Z
1191;6804;UD QUANTUM PENARIK MOTOR;G02
1192;294;CAHAYA MOTOR;G02
1193;11225;BAHAI MOTOR;G02
1194;1003;JATI;I3Z
1195;12708;MANDIRI JAYA ABADI;K0Z
1196;2235;PT. ANTABOGA INTINUSA P.;K0Z
1197;10881;SINAR WIJAYA MOTOR II;M2Z
1198;596;DUNIA BARU;I3Z
1199;1116;BY PASS MOTOR 4;K0Z
1200;1953;CV LARETIGO;K0Z
1201;2771;TUNGGAL JAYA MOTOR;U10
1202;18577;MITRA JAYA MOTOR;Q01
1203;1073;BANGLI MOTOR SERVICE;N01
1204;2212;ALFAN MOTOR;M3Z
1205;2069;FEDERASI USAHA MOTOR;D2Z
1206;2652;TAMA MOTOR;K0Z
1207;15675;UD HARMONI SERVIS;C3Z
1208;2636;DAME SERVIS;C3Z
1209;10079;PT PUTRAGUNG BERKAT INDAH;K0Z
1210;2604;PITBRAL SERVICE;D2Z
1211;17462;GIANT ANUGRAH GEMILANG;I3Z
1212;13843;FEDORA;I3Z
1213;1698;BALADEWA;I3Z
1214;2630;ANDALAS;I3Z
1215;8453;CIJANTUNG;I3Z
1216;1320;NUSANTARA;I3Z
1217;10931;ARIEF BYNA SELARAS 2;I3Z
1218;17985;MAZ UTAMA TASIKINDO;J10
1219;1695;TUGU JAYA;I3Z
1220;13197;ANUGRAH MOTOR;I3Z
1221;18436;AHASS WIJAYA PUTRA MOTOR;M2Z
1222;430;CIPTA JAYA;W01
1223;7692;MITRA MOTOR;J10
1224;17570;BAHAUM BAKUBA;T10
1225;3426;BALI TIMUR MANDIRI;N01
1226;8932;TERUS JAYA MOTOR;J10
1227;1657;NAGA SAKTI;K0Z
1228;9266;MUTIARA LESTARY;J10
1229;6938;SRIWIJAYA MOTOR;J10
1230;17015;MITRA KARSA;J10
1231;17631;RIA JAYA;J10
1232;8371;PRIMA MOTOR;J10
1233;8946;PERINTIS MOTOR,CV;J10
1234;10921;AL-MADINAH MOTOR;J10
1235;15522;TIGA KARYA MOTOR;J10
1236;10929;CILANGKAP MOTOR;I3Z
1237;6704;SALAS MOTOR;J10
1238;2083;REZEKI MOTOR;J10
1239;18416;PURAGA MOTOR;J10
1240;7642;ADISENA MOTOR;K0Z
1241;7722;JATAYU MOTOR;K0Z
1242;9317;KOHAR;M2Z
1243;16439;WAHANA MULYA SANTOSA;L01
1244;7496;SONIC SERVISVIS;C3Z
1245;8924;CENTRAL SERVIS I;C3Z
1246;1066;YASUKA MOTOR;M2Z
1247;13997;JATISARI MOTOR;M2Z
1248;965;KALISTA MOTOR;L01
